DATE,DCOILBRENTEU
1988-05-12,16.40
1988-05-13,16.50
1988-05-16,16.60
1988-05-17,16.60
1988-05-18,16.40
1988-05-19,16.25
1988-05-20,16.45
1988-05-23,16.23
1988-05-24,16.30
1988-05-25,16.18
1988-05-26,16.18
1988-05-27,16.25
1988-05-30,16.23
1988-05-31,16.20
1988-06-01,16.33
1988-06-02,16.33
1988-06-03,16.45
1988-06-06,16.25
1988-06-07,16.23
1988-06-08,16.28
1988-06-09,16.30
1988-06-10,15.85
1988-06-13,15.53
1988-06-14,15.85
1988-06-15,15.70
1988-06-16,15.43
1988-06-17,15.48
1988-06-20,15.00
1988-06-21,15.00
1988-06-22,15.13
1988-06-23,15.18
1988-06-24,15.15
1988-06-27,14.93
1988-06-28,14.83
1988-06-29,14.55
1988-06-30,14.18
1988-07-01,13.95
1988-07-04,14.05
1988-07-05,13.98
1988-07-06,14.50
1988-07-07,15.50
1988-07-08,15.05
1988-07-11,14.63
1988-07-12,14.00
1988-07-13,14.10
1988-07-14,14.10
1988-07-15,14.25
1988-07-18,15.00
1988-07-19,14.93
1988-07-20,15.48
1988-07-21,15.63
1988-07-22,15.83
1988-07-25,15.80
1988-07-26,15.38
1988-07-27,15.45
1988-07-28,15.70
1988-07-29,15.75
1988-08-01,15.60
1988-08-02,15.35
1988-08-03,15.00
1988-08-04,14.50
1988-08-05,14.85
1988-08-08,15.48
1988-08-09,15.40
1988-08-10,15.10
1988-08-11,15.13
1988-08-12,14.98
1988-08-15,14.80
1988-08-16,14.85
1988-08-17,14.75
1988-08-18,14.78
1988-08-19,14.85
1988-08-22,15.03
1988-08-23,14.80
1988-08-24,14.85
1988-08-25,14.63
1988-08-26,14.50
1988-08-29,14.48
1988-08-30,14.45
1988-08-31,14.40
1988-09-01,14.15
1988-09-02,14.00
1988-09-05,13.68
1988-09-06,13.35
1988-09-07,13.18
1988-09-08,13.30
1988-09-09,13.25
1988-09-12,12.70
1988-09-13,13.40
1988-09-14,13.90
1988-09-15,13.50
1988-09-16,13.23
1988-09-19,12.85
1988-09-20,13.15
1988-09-21,13.05
1988-09-22,13.20
1988-09-23,13.20
1988-09-26,13.10
1988-09-27,12.58
1988-09-28,12.75
1988-09-29,12.50
1988-09-30,11.93
1988-10-03,11.60
1988-10-04,11.65
1988-10-05,11.20
1988-10-06,11.30
1988-10-07,11.35
1988-10-10,12.20
1988-10-11,12.35
1988-10-12,12.45
1988-10-13,12.55
1988-10-14,13.20
1988-10-17,13.55
1988-10-18,12.90
1988-10-19,13.35
1988-10-20,13.50
1988-10-21,13.48
1988-10-24,12.20
1988-10-25,12.08
1988-10-26,12.08
1988-10-27,12.33
1988-10-28,12.60
1988-10-31,12.60
1988-11-01,12.18
1988-11-02,12.35
1988-11-03,12.50
1988-11-04,12.75
1988-11-07,12.75
1988-11-08,12.60
1988-11-09,12.70
1988-11-10,13.03
1988-11-11,13.03
1988-11-14,13.00
1988-11-15,13.00
1988-11-16,12.70
1988-11-17,12.05
1988-11-18,12.08
1988-11-21,12.13
1988-11-22,13.35
1988-11-23,13.33
1988-11-24,12.98
1988-11-25,14.70
1988-11-28,14.73
1988-11-29,14.25
1988-11-30,14.35
1988-12-01,14.93
1988-12-02,14.80
1988-12-05,14.73
1988-12-06,14.40
1988-12-07,14.70
1988-12-08,15.05
1988-12-09,14.90
1988-12-12,15.20
1988-12-13,15.18
1988-12-14,15.35
1988-12-15,15.58
1988-12-16,15.60
1988-12-19,15.30
1988-12-20,15.28
1988-12-21,15.33
1988-12-22,15.25
1988-12-23,15.38
1988-12-26,.
1988-12-27,16.25
1988-12-28,16.10
1988-12-29,15.90
1988-12-30,16.23
1989-01-02,.
1989-01-03,16.40
1989-01-04,16.53
1989-01-05,16.58
1989-01-06,16.85
1989-01-09,17.00
1989-01-10,16.75
1989-01-11,16.90
